player,year,1st_in,1st_won,2nd_won,bp_saved,v1st_won,v2nd_won,bp_cnvt,hld_rate,brk_rate
Jana Cepelova,2019,62.53,54.86,37.21,24.77,36.38,58.36,54.16,40.12,37.65
Jana Fett,2019,53.26,57.97,36.16,50.56,40.03,48.95,47.99,47.93,35.48
Jaqueline Cristian,2019,57.46,50.42,35.56,34.98,33.4,52.61,25.4,39.15,24.4
Jasmine Paolini,2019,65.53,57.7,46.28,54.82,32.4,56.06,50.39,53.36,30.08
Jelena Ostapenko,2019,54.29,65.3,40.16,48.48,37.19,56.43,48.07,58.54,38.74
Jelena Simic,2019,48.78,67.2,42.0,29.16,29.0,30.92,10.0,59.03,5.56
Jennifer Brady,2019,56.02,71.05,47.55,59.08,34.05,52.79,43.34,71.39,30.15
Jessica Pegula,2019,61.05,60.04,45.92,51.02,36.0,52.7,43.4,59.92,32.38
Jessica Pieri,2019,73.44,51.06,47.06,50.0,33.33,33.33,33.33,44.44,12.5
Jessika Ponchet,2019,47.46,68.16,38.99,48.9,32.0,42.14,59.03,55.49,18.43
Ji Hee Choi,2019,50.91,75.0,33.33,57.14,3.85,38.89,0.0,62.5,0.0
Jia Jing Lu,2019,68.12,53.19,27.27,33.33,35.56,56.25,30.0,40.0,33.33
Jil Teichmann,2019,65.31,64.26,50.22,54.44,40.56,53.9,51.54,69.2,38.03
Johanna Konta,2019,66.81,68.09,51.08,60.59,37.37,53.98,46.34,78.06,35.21
Johanna Larsson,2019,63.5,57.93,43.99,51.13,29.58,45.14,44.35,56.71,20.64
Jule Niemeier,2019,56.82,64.0,21.05,28.57,20.0,54.55,20.0,37.5,12.5
Julia Glushko,2019,66.1,53.85,40.0,16.67,30.43,70.37,27.27,50.0,30.0
Julia Goerges,2019,55.36,73.12,48.64,57.77,33.15,51.99,41.41,76.19,30.21
Julia Grabher,2019,56.04,70.77,45.0,61.12,33.11,52.28,47.92,72.22,33.34
Junri Namigata,2019,59.81,54.69,39.53,50.0,42.37,55.1,53.85,40.0,46.67
Kaia Kanepi,2019,58.33,66.64,41.83,47.14,35.54,56.76,37.84,63.42,34.95
Kaja Juvan,2019,61.01,65.22,50.77,57.38,37.59,54.68,57.04,71.11,40.24
Kamilla Rakhimova,2019,56.25,50.0,46.43,37.5,21.88,59.09,50.0,50.0,22.22
Karen Barbat,2019,70.79,50.0,35.44,39.81,28.17,46.22,32.54,37.5,15.74
Karman Thandi,2019,46.64,61.14,36.07,50.0,36.08,48.06,37.5,45.68,26.49
Karolina Muchova,2019,64.18,68.14,49.57,55.95,37.21,54.53,43.23,74.89,36.24
Karolina Pliskova,2019,65.87,73.7,45.47,55.58,37.75,56.99,48.5,79.73,37.91
Katarina Zavatska,2019,64.53,58.57,42.9,47.37,33.67,59.04,62.7,55.3,39.08
Katarzyna Kawa,2019,63.13,62.42,50.64,41.48,41.64,60.95,55.05,67.33,49.75
Kate Makarova,2019,67.32,61.01,43.44,52.01,30.24,56.62,36.35,62.7,27.14
Katerina Siniakova,2019,60.57,62.31,45.22,48.3,37.03,55.14,45.69,62.98,37.24
Kateryna Baindl,2019,65.27,59.41,43.55,43.83,38.2,60.09,54.3,58.86,43.39
Kateryna Bondarenko,2019,48.58,58.12,31.98,37.5,25.79,58.92,34.12,46.02,24.43
Katie Boulter,2019,57.35,71.85,47.84,55.02,31.37,58.54,51.65,76.53,30.17
Katie Swan,2019,58.42,67.66,37.2,42.43,29.01,47.65,65.48,63.66,17.45
Katie Volynets,2019,65.1,60.32,41.02,43.75,20.76,57.25,60.0,62.16,12.22
Kiki Bertens,2019,56.57,71.9,46.88,53.51,37.33,54.68,46.05,76.32,35.36
Kimberly Birrell,2019,63.21,62.09,34.66,59.8,30.73,50.11,42.6,56.11,25.8
Kirsten Flipkens,2019,63.89,62.16,45.97,49.74,35.09,48.86,44.81,64.65,28.04
Kristie Ahn,2019,59.99,59.44,48.78,51.65,33.89,53.4,46.92,63.64,36.4
Kristina Kucova,2019,56.82,54.32,43.22,51.31,27.94,49.07,33.73,52.5,20.09
Kristina Mladenovic,2019,57.07,66.94,41.36,50.65,37.07,56.92,52.97,62.94,40.52
Kristyna Pliskova,2019,59.61,73.02,44.92,61.49,29.34,52.36,37.51,74.58,24.36
Kurumi Nara,2019,70.31,52.01,39.48,42.18,40.28,46.11,33.64,52.25,35.17
Lara Arruabarrena,2019,67.7,58.1,47.31,48.66,34.7,54.76,43.36,57.81,31.01
Laura Ioana Andrei,2019,68.15,57.8,40.22,50.59,43.96,70.0,67.85,51.78,58.93
Laura Siegemund,2019,69.02,58.71,46.92,51.19,36.28,52.84,41.13,61.38,30.31
Lauren Anzalotta Kynoch,2019,56.69,54.1,39.19,50.82,33.79,38.06,30.0,40.77,12.5
Lauren Davis,2019,61.38,60.24,48.58,60.32,35.03,51.14,50.66,63.33,31.21
Lea Boskovic,2019,72.29,53.33,56.52,60.0,30.23,42.86,50.0,60.0,20.0
Lesia Tsurenko,2019,69.84,58.44,43.33,48.07,37.39,55.48,48.65,57.52,38.75
Lesley Pattinama Kerkhove,2019,63.7,51.55,40.43,39.81,33.0,54.78,43.71,39.7,27.68
Leylah Fernandez,2019,57.77,49.35,40.65,39.74,24.5,44.68,50.0,39.02,12.96
Lin Zhu,2019,67.03,55.75,42.53,38.93,36.3,53.53,47.26,54.08,34.34
Lina Glushko,2019,74.82,62.16,31.94,56.95,45.17,45.52,53.57,63.69,46.07
Liudmila Samsonova,2019,54.77,62.6,44.61,56.17,33.01,52.18,35.5,62.33,26.26
Lucie Hradecka,2019,54.17,79.49,36.36,57.14,21.28,59.09,40.0,72.73,18.18
Luksika Kumkhum,2019,63.3,51.72,30.97,43.73,27.68,52.86,45.56,32.7,19.68
Madison Brengle,2019,73.77,51.86,37.54,39.78,38.83,61.24,54.56,46.11,44.74
Madison Keys,2019,62.23,70.44,46.56,58.21,36.74,56.48,44.02,74.87,35.47
Madrie Le Roux,2019,70.09,58.67,53.12,50.0,39.56,50.0,33.33,60.0,25.0
Magda Linette,2019,57.13,66.15,48.9,53.38,38.52,51.03,48.5,70.68,34.81
Magdalena Frech,2019,61.08,61.21,39.97,47.98,37.33,44.23,43.05,60.07,29.67
Magdalena Rybarikova,2019,57.06,63.37,45.25,55.44,25.75,49.04,33.79,63.5,17.99
Mahak Jain,2019,71.23,57.69,57.14,50.0,26.92,45.45,25.0,66.67,8.33
Maia Lumsden,2019,59.21,68.63,36.39,60.0,27.27,42.22,20.0,61.36,20.0
Mananchaya Sawangkaew,2019,55.93,45.45,34.62,45.45,25.0,58.82,66.67,25.0,25.0
Mandy Minella,2019,65.33,61.28,49.57,44.54,37.92,51.09,41.53,66.74,36.15
Margarita Gasparyan,2019,62.34,59.52,44.2,47.91,36.44,55.78,47.94,55.86,33.6
Mari Osaka,2019,60.66,40.54,50.0,25.0,32.5,53.85,75.0,33.33,33.33
Maria Cecilia Aguiar,2019,53.33,40.62,32.14,53.33,32.0,46.67,50.0,0.0,28.57
Maria Fernanda Herazo Gonzalez,2019,52.17,61.11,51.52,40.0,34.15,43.9,18.18,70.0,18.18
Maria Ines Fonte,2019,58.82,43.33,38.1,14.29,15.62,87.5,33.33,14.29,12.5
Maria Jose Portillo Ramirez,2019,60.24,62.0,39.39,69.23,30.56,42.86,33.33,60.0,18.18
Maria Sakkari,2019,58.18,65.5,47.4,53.45,37.57,55.73,48.49,68.85,37.7
Maria Sharapova,2019,59.85,60.29,40.52,46.46,40.07,59.46,37.88,69.3,35.25
Mariam Bolkvadze,2019,59.85,52.5,45.19,41.67,27.0,47.94,32.78,45.65,16.99
Marie Benoit,2019,73.77,46.67,37.5,58.33,18.75,60.0,33.33,37.5,22.22
Marie Bouzkova,2019,61.62,61.17,50.44,55.62,35.36,55.63,54.16,65.45,35.28
Marketa Vondrousova,2019,61.49,66.13,48.27,45.89,44.82,55.22,50.98,69.88,48.45
Marta Kostyuk,2019,59.87,64.97,48.33,41.94,43.65,55.07,48.59,67.17,52.48
Martina Di Giuseppe,2019,60.22,68.33,42.11,54.88,32.8,48.01,55.45,66.61,26.98
Martina Trevisan,2019,67.99,51.03,41.22,44.39,35.84,58.45,67.19,44.73,38.28
Maya Tahan,2019,71.42,50.28,38.35,44.2,31.42,45.93,21.66,42.91,15.83
Mayo Hibi,2019,83.4,54.04,47.06,48.88,34.51,58.06,35.58,57.14,37.86
Meiling Wang,2019,68.42,51.28,61.11,33.33,12.5,61.29,16.67,60.0,11.11
Melanie Klaffner,2019,62.39,69.96,73.61,87.5,47.68,61.34,68.75,93.75,54.46
Mell Elizabeth Reasco Gonzalez,2019,63.22,59.21,39.53,47.2,37.2,55.66,38.46,48.75,33.51
Mihaela Buzarnescu,2019,61.35,62.56,42.39,50.19,31.78,56.52,46.29,61.2,29.01
Mihaela Djakovic,2019,58.0,44.83,38.1,37.5,28.0,36.36,33.33,37.5,12.5
Mirjam Bjorklund,2019,64.81,74.29,42.11,75.0,34.15,65.0,31.25,88.89,62.5
Misaki Doi,2019,60.77,61.53,46.83,48.64,30.43,55.02,51.14,61.59,32.73
Miyu Kato,2019,56.36,67.74,41.67,42.86,20.0,57.89,100.0,55.56,11.11
Mona Barthel,2019,57.74,67.83,42.1,49.22,32.63,48.67,43.32,64.14,24.47
Monica Niculescu,2019,79.06,56.74,46.29,38.37,40.18,54.31,45.25,60.47,38.63
Monica Puig,2019,61.79,65.88,47.73,55.63,35.97,56.12,48.77,70.17,35.67
Montserrat Gonzalez,2019,68.64,51.9,48.86,46.23,42.04,49.52,44.44,56.4,41.66
Na Lae Han,2019,65.97,60.38,55.57,56.11,38.71,52.18,59.52,67.75,33.16
Na Ri Kim,2019,61.18,73.08,54.55,75.0,42.31,42.86,50.0,91.67,33.33
Nadiya Kichenok,2019,65.22,26.67,43.75,36.36,37.14,62.5,40.0,12.5,28.57
Naiktha Bains,2019,46.51,60.0,34.78,42.86,25.0,25.0,0.0,42.86,0.0
Nao Hibino,2019,65.37,64.09,45.82,53.79,39.43,54.33,49.79,65.5,40.15
Naomi Osaka,2019,57.91,70.32,46.1,52.01,40.1,56.88,48.1,79.13,34.98
Natalia Vikhlyantseva,2019,62.62,65.36,48.51,59.32,37.37,57.64,49.39,69.86,40.07
Nefisa Berberovic,2019,70.15,68.09,50.0,100.0,47.06,78.95,71.43,100.0,71.43
Nicole Gibbs,2019,62.17,60.26,50.61,49.75,36.56,50.57,32.58,65.94,31.32
Nigina Abduraimova,2019,50.77,45.45,43.75,33.33,33.33,41.67,100.0,40.0,22.22
Nina Stojanovic,2019,56.15,64.53,46.55,47.5,36.69,60.02,49.69,63.76,39.85
Nudnida Luangnam,2019,65.85,53.93,42.76,47.83,34.35,52.85,55.68,46.79,38.4
Oceane Dodin,2019,54.01,75.43,46.13,46.66,26.66,63.38,35.72,77.78,27.78
Olga Danilovic,2019,51.0,62.96,37.64,47.28,32.56,41.13,28.62,49.58,19.74
Olga Govortsova,2019,71.83,50.98,35.0,45.45,25.81,47.62,100.0,40.0,33.33
Ons Jabeur,2019,53.41,62.98,43.76,51.92,37.07,53.2,49.03,62.92,31.43
Patricia Maria Tig,2019,64.8,63.26,46.24,65.05,42.21,51.82,47.82,71.38,41.47
Paula Badosa,2019,57.55,67.53,44.91,49.49,29.57,51.04,35.15,66.02,24.89
Paula Ormaechea,2019,66.36,58.77,42.09,66.67,26.82,40.77,83.33,63.37,24.36
Pauline Parmentier,2019,57.46,64.65,43.75,52.39,33.77,49.11,40.15,63.8,26.48
Peangtarn Plipuech,2019,65.66,57.95,40.51,45.2,35.11,40.96,27.78,59.31,19.44
Pemra Ozgen,2019,66.15,55.4,46.37,44.28,38.09,41.83,61.9,58.22,31.49
Petra Kvitova,2019,61.68,71.93,51.33,56.55,37.41,54.8,44.08,80.76,35.9
Petra Martic,2019,62.81,65.53,48.87,58.81,39.6,55.99,48.19,74.51,37.18
Polona Hercog,2019,55.95,67.11,48.44,54.89,35.91,47.59,45.56,68.74,30.01
Priscilla Hon,2019,58.18,66.79,41.33,49.27,32.8,55.39,45.8,62.99,31.04
Qiang Wang,2019,61.67,63.85,49.48,53.29,37.74,53.62,50.76,66.28,34.97
Quirine Lemoine,2019,69.81,45.95,25.0,14.29,27.27,55.56,40.0,25.0,25.0
Rebecca Marino,2019,53.26,51.09,41.93,48.24,28.98,51.19,70.0,27.78,17.5
Rebecca Peterson,2019,66.83,61.32,50.15,55.32,36.83,55.04,44.74,66.44,35.09
Rebecca Sramkova,2019,54.05,57.55,37.0,47.92,32.18,40.93,50.0,42.5,20.48
Reka Luca Jani,2019,67.59,55.74,43.42,24.28,38.2,49.38,40.97,54.16,37.5
Renata Zarazua,2019,66.61,58.06,47.26,42.36,37.61,58.51,55.48,60.68,36.18
Richel Hogenkamp,2019,63.86,59.88,41.54,47.62,28.19,44.3,39.29,58.33,17.04
Risa Ozaki,2019,63.86,54.72,36.67,30.0,36.96,52.78,30.77,46.15,33.33
Saara Orav,2019,56.25,44.44,33.33,33.33,21.05,42.11,100.0,14.29,12.5
Sabina Sharipova,2019,72.62,47.54,26.09,30.77,44.19,40.0,71.43,30.77,38.46
Sabine Lisicki,2019,50.71,68.45,43.64,35.48,31.82,40.05,31.31,63.24,14.9
Sachia Vickery,2019,60.14,59.93,43.05,45.52,35.51,54.8,41.12,53.23,29.85
Saisai Zheng,2019,65.05,59.17,44.67,47.35,38.2,52.27,45.1,58.38,35.21
Samantha Stosur,2019,58.75,65.65,39.7,53.38,34.52,50.85,43.13,61.45,27.65
Sara Errani,2019,62.46,50.26,27.51,31.88,38.31,56.08,48.26,32.49,39.04
Sara Sorribes Tormo,2019,65.86,57.23,39.18,42.16,41.0,57.13,51.37,54.5,42.61
Selena Janicijevic,2019,58.14,44.0,27.78,33.33,37.04,41.38,28.57,14.29,25.0
Serena Williams,2019,59.25,76.52,50.41,40.61,39.59,58.23,44.08,80.19,42.11
Shelby Rogers,2019,58.63,62.16,47.49,50.81,37.07,52.98,52.12,63.19,36.32
Shilin Xu,2019,62.65,60.91,40.97,44.16,34.13,60.71,45.0,59.03,30.0
Shuai Peng,2019,67.63,62.29,44.06,51.63,33.64,56.85,41.26,60.71,34.2
Shuai Zhang,2019,62.37,62.54,44.54,50.76,36.54,52.65,45.42,61.3,34.28
Shuyue Ma,2019,48.98,54.17,36.0,33.33,28.12,56.52,40.0,25.0,25.0
Silvia Soler Espinosa,2019,66.48,54.57,48.95,55.5,29.54,43.75,37.5,57.72,27.72
Simona Halep,2019,69.01,63.88,47.58,48.48,42.94,58.47,52.92,71.01,47.83
Simona Waltert,2019,60.51,62.39,44.05,35.42,30.86,57.99,35.61,59.92,28.63
Sloane Stephens,2019,69.3,59.86,48.24,48.12,37.65,55.65,43.62,62.9,36.18
Sofia Kenin,2019,65.52,66.8,48.34,56.75,33.78,58.0,48.32,74.92,35.89
Sofya Zhuk,2019,67.69,52.27,47.62,50.0,29.03,35.0,33.33,55.56,11.11
Sorana Cirstea,2019,61.44,63.8,47.55,51.76,38.47,54.45,48.7,67.83,37.75
Stefanie Voegele,2019,57.35,61.16,40.67,42.73,36.58,51.66,42.33,56.03,33.39
Su Jeong Jang,2019,66.48,63.88,51.54,64.45,51.09,55.97,60.39,71.44,56.55
Su Wei Hsieh,2019,64.22,61.93,46.89,52.47,37.45,56.79,45.85,65.95,36.72
Sunam Jeong,2019,60.0,56.41,30.77,28.57,37.5,43.75,40.0,44.44,22.22
Svetlana Kuznetsova,2019,67.05,64.36,49.42,53.06,37.32,55.52,44.64,67.81,33.55
Tamara Korpatsch,2019,61.23,57.53,43.38,46.39,35.61,52.4,41.7,52.4,33.82
Tamara Zidansek,2019,68.63,57.8,43.01,54.26,36.51,55.94,44.58,58.01,38.7
Tara Moore,2019,56.41,63.64,44.12,60.0,22.73,55.0,30.0,60.0,27.27
Tatjana Maria,2019,54.3,63.79,42.89,50.79,34.14,46.22,39.5,60.12,25.86
Taylor Townsend,2019,64.62,64.48,49.09,59.19,34.73,50.27,49.06,69.34,27.64
Tena Lukas,2019,56.98,56.71,23.96,36.11,42.49,51.19,42.86,34.82,35.42
Tereza Martincova,2019,69.65,61.33,45.93,57.72,32.7,56.39,41.12,67.01,30.3
Tereza Mrdeza,2019,66.47,55.41,45.22,23.78,48.25,62.43,50.57,51.59,54.89
Tereza Smitkova,2019,50.55,64.97,51.66,51.11,28.36,57.3,17.78,70.79,21.37
Tess Sugnaux,2019,51.61,68.75,36.67,42.86,25.71,31.25,20.0,55.56,11.11
Theresa Alison Van Zyl,2019,65.91,44.83,13.33,41.67,20.0,65.0,100.0,0.0,25.0
Timea Babos,2019,58.59,64.91,40.52,59.31,29.7,48.21,38.65,60.35,25.67
Timea Bacsinszky,2019,64.55,59.14,45.9,46.27,38.45,56.35,51.7,55.61,41.91
Valentini Grammatikopoulou,2019,65.24,57.18,43.25,56.66,35.07,47.12,52.65,54.83,22.54
Valentyna Ivakhnenko,2019,74.99,58.14,32.8,58.94,54.49,59.21,53.25,58.93,62.5
Valeria Gorlats,2019,56.38,69.18,38.2,52.08,38.4,50.66,83.34,66.66,39.02
Valeria Savinykh,2019,69.84,56.82,36.84,63.64,22.22,28.57,0.0,55.56,0.0
Valeriya Strakhova,2019,64.29,52.78,35.0,0.0,41.46,40.0,50.0,44.44,30.0
Varvara Flink,2019,60.41,58.69,44.69,50.45,31.26,49.55,33.51,55.16,25.4
Varvara Gracheva,2019,51.07,64.15,48.62,48.1,44.35,49.91,54.69,64.88,42.42
Varvara Lepchenko,2019,63.56,58.25,37.61,50.06,31.29,47.74,42.13,53.47,24.54
Venus Williams,2019,63.21,63.25,43.34,53.96,36.2,54.56,45.85,63.77,36.81
Vera Lapko,2019,56.1,66.35,42.06,55.31,33.49,50.27,39.74,60.45,27.02
Vera Zvonareva,2019,65.34,61.49,43.78,53.7,33.2,47.61,42.57,59.92,26.83
Veronica Cepede Royg,2019,61.68,69.82,44.32,57.29,42.86,52.07,48.61,73.47,43.14
Veronika Kudermetova,2019,56.71,68.06,46.12,56.1,36.68,54.81,46.49,69.38,37.35
Victoria Azarenka,2019,62.02,65.12,43.81,50.33,38.7,60.72,47.61,65.56,45.12
Victoria Bosio,2019,49.25,71.09,41.28,53.42,32.87,48.75,48.7,68.25,27.96
Victoria Rodriguez,2019,67.32,39.66,33.34,33.33,31.82,49.32,30.3,22.22,23.34
Viktoria Kuzmova,2019,56.13,68.08,44.81,52.48,33.5,53.28,42.55,66.58,30.91
Viktorija Golubic,2019,65.42,55.19,42.33,56.69,38.4,59.13,59.12,52.72,41.19
Viktoriya Tomova,2019,61.32,58.22,41.98,46.18,36.25,47.59,40.44,55.67,30.74
Violet Apisah,2019,64.54,60.72,35.22,43.94,31.65,51.08,32.5,52.22,21.11
Vitalia Diatchenko,2019,61.61,60.66,33.13,44.58,30.29,53.28,53.33,48.17,28.32
Whitney Osuigwe,2019,66.17,55.48,41.76,45.57,35.57,43.77,41.57,53.22,26.8
Xiaodi You,2019,53.56,51.16,36.06,51.66,43.22,52.1,50.5,40.0,47.72
Xin Yu Wang,2019,55.26,63.84,43.41,54.31,35.52,52.06,39.61,61.18,32.25
Xinyu Gao,2019,58.25,56.67,46.51,45.45,26.79,48.89,27.27,60.0,20.0
Xinyun Han,2019,71.33,57.8,42.45,47.58,37.05,53.59,40.77,58.64,35.2
Xiyu Wang,2019,61.9,58.33,47.79,41.71,28.68,50.61,27.61,57.78,22.63
Yafan Wang,2019,59.03,65.12,46.13,48.73,38.52,55.25,44.1,64.57,38.41
Yanina Wickmayer,2019,61.4,62.61,42.13,52.42,30.02,50.78,36.53,58.99,20.14
Ying Ying Duan,2019,63.06,64.42,40.24,43.55,29.95,43.47,26.43,66.14,17.69
Ylena In Albon,2019,67.0,65.71,44.57,63.46,25.0,41.27,31.11,71.82,15.34
Ysaline Bonaventure,2019,63.27,59.08,39.6,54.22,33.76,53.8,45.62,55.37,34.19
Yulia Putintseva,2019,67.31,61.4,48.53,47.29,37.2,54.68,49.93,65.07,39.0
Zani Barnard,2019,71.05,50.0,40.91,50.0,35.9,46.67,50.0,54.55,27.27
Zarina Diyas,2019,69.66,60.1,44.52,45.47,37.66,52.53,39.0,61.36,35.22
Zhaoxuan Yang,2019,69.83,57.39,43.39,56.67,40.29,63.38,64.31,56.51,47.05
Zoe Hives,2019,57.32,65.38,48.46,67.01,34.96,51.49,65.72,68.72,30.01
Ajla Tomljanovic,2020,54.99,64.77,46.25,47.98,33.63,52.92,40.74,62.02,29.53
Akgul Amanmuradova,2020,70.75,56.28,39.76,56.68,38.25,57.14,56.74,52.81,33.75
Aldila Sutjiadi,2020,65.84,52.35,45.92,30.0,37.61,54.54,68.46,49.69,35.01
Aleksandra Krunic,2020,42.31,75.76,53.33,50.0,37.29,58.06,31.25,76.92,38.46
Aliaksandra Sasnovich,2020,65.69,61.22,47.34,56.4,36.88,59.68,50.21,65.19,39.85
Aliona Bolsova,2020,66.31,55.29,42.36,51.47,35.77,48.8,46.31,55.04,28.89
Alison Riske Amritraj,2020,64.44,64.6,44.96,55.33,37.03,54.4,55.65,66.31,35.02
Alison Van Uytvanck,2020,62.32,66.61,46.1,41.82,35.24,50.06,38.56,66.27,29.67
Alize Cornet,2020,62.6,66.28,42.6,55.98,38.39,55.23,46.74,66.77,38.15
Allie Kiick,2020,73.24,53.85,57.89,50.0,14.89,64.0,60.0,58.33,23.08
Amanda Anisimova,2020,63.44,57.82,43.19,44.18,38.81,58.49,41.92,63.26,35.76
Ana Bogdan,2020,52.97,58.81,46.39,33.27,45.47,65.18,42.91,78.84,37.56
Anastasia Kulikova,2020,65.73,74.93,54.06,62.5,37.46,65.8,40.75,91.45,47.37
Anastasia Pavlyuchenkova,2020,68.38,63.02,41.96,43.77,36.93,57.51,46.71,65.47,36.65
Anastasia Potapova,2020,52.09,64.56,47.17,46.94,36.03,61.08,48.4,61.88,39.25
Anastasia Vdovenco,2020,63.34,53.63,36.69,52.05,28.9,47.99,39.28,43.66,18.54
Anastasija Sevastova,2020,60.62,55.58,42.51,45.69,27.16,51.55,32.61,50.93,21.69
Anastasiya Komardina,2020,61.63,54.72,45.45,76.47,21.88,23.08,0.0,50.0,0.0
Anchisa Chanta,2020,55.35,73.12,49.09,31.82,48.85,68.31,59.95,74.63,70.83
Andrea Gamiz,2020,71.55,52.41,33.89,28.48,46.4,60.62,41.9,42.93,49.91
Andrea Petkovic,2020,63.46,54.55,15.79,14.29,40.62,38.46,50.0,33.33,33.33
Anett Kontaveit,2020,62.91,67.61,47.24,53.48,38.25,57.54,50.79,71.2,43.0
Angelique Kerber,2020,67.62,61.79,47.81,60.62,38.47,52.43,57.33,68.17,36.5
Anhelina Kalinina,2020,66.94,47.3,38.1,47.28,21.88,60.02,27.5,39.78,25.0
Ankita Raina,2020,71.6,56.56,42.44,40.65,39.4,57.47,47.9,55.42,37.26
Ann Li,2020,65.36,60.26,45.81,47.04,34.63,53.4,31.32,62.99,28.58
Anna Blinkova,2020,60.24,62.0,39.02,50.78,40.41,53.27,52.95,56.05,39.75
Anna Clarice Patrimonio,2020,63.94,72.01,26.11,73.15,40.41,55.0,75.56,71.76,47.75
Anna Kalinskaya,2020,64.66,56.74,46.65,45.0,28.71,41.34,60.48,61.75,18.97
Anna Karolina Schmiedlova,2020,67.29,56.77,42.12,55.81,41.48,55.63,44.7,55.9,43.49
Anna Lena Friedsam,2020,69.58,67.85,51.05,45.37,36.38,56.98,37.72,73.23,35.16
Antonia Lottner,2020,67.35,53.38,33.93,12.5,22.42,53.57,75.0,44.44,16.66
Arantxa Rus,2020,72.89,59.38,46.17,61.97,36.53,50.74,41.8,63.39,32.5
Arina Rodionova,2020,64.97,49.86,32.76,45.08,38.65,54.47,40.2,42.88,36.54
Aryna Sabalenka,2020,62.1,68.23,48.92,51.93,38.65,56.71,52.46,74.36,40.16
Arzuv Klycheva,2020,60.49,49.54,39.78,35.0,25.36,51.84,25.0,35.0,13.75
Ashleigh Barty,2020,60.66,73.54,49.88,60.4,39.55,50.98,49.22,82.34,36.38
Asia Muhammad,2020,45.28,58.33,37.93,42.86,19.44,37.5,0.0,100.0,0.0
Astra Sharma,2020,64.67,62.08,43.18,49.17,31.97,45.96,35.12,63.65,24.26
Aymet Uzcategui,2020,62.14,52.42,33.43,51.25,41.57,40.44,30.77,39.28,28.57
Bahar Toymyradova,2020,52.53,32.78,38.52,47.78,27.7,37.02,61.11,21.11,19.91
Barbara Gatica,2020,74.11,61.16,46.47,62.5,42.34,65.71,43.68,66.86,51.19
Barbara Haas,2020,58.81,57.12,31.01,46.59,29.07,44.99,27.5,45.02,17.45
Barbora Krejcikova,2020,63.95,67.19,41.28,52.89,36.77,58.44,42.95,68.56,37.35
Barbora Strycova,2020,68.02,55.66,51.16,49.15,34.18,53.04,46.66,59.56,28.01
Basak Eraydin,2020,60.87,45.24,33.33,33.33,50.0,64.71,60.0,27.27,54.55
Belinda Bencic,2020,60.45,66.14,40.48,50.58,30.58,55.9,45.95,62.68,31.02
Berfu Cengiz,2020,61.09,70.31,40.63,53.33,30.16,46.57,33.33,68.45,16.67
Bernarda Pera,2020,58.94,65.84,38.02,52.44,31.89,56.83,43.07,59.56,31.46
Bethanie Mattek Sands,2020,68.85,52.38,42.11,50.0,29.55,54.17,50.0,55.56,20.0
Bibiane Schoofs,2020,61.29,60.53,25.0,44.44,40.0,42.86,22.22,44.44,22.22
Bolor Enkhbayar,2020,64.86,33.33,7.69,25.0,0.0,22.22,0.0,0.0,0.0
Cagla Buyukakcay,2020,74.35,53.94,30.46,57.74,41.66,38.84,73.34,47.32,31.25
Camila Giorgi,2020,56.13,65.86,48.16,50.27,34.81,53.54,45.79,67.44,30.39
Camila Osorio,2020,62.95,53.91,41.11,56.25,38.1,44.91,42.86,51.52,28.18
Camila Soares,2020,61.22,50.0,26.32,50.0,22.73,41.18,0.0,0.0,0.0
Carla Suarez Navarro,2020,65.8,63.07,44.76,58.16,41.59,52.53,53.69,67.24,42.51
Caroline Dolehide,2020,60.83,63.38,41.63,54.58,33.36,54.27,52.47,61.25,28.17
Caroline Garcia,2020,62.03,63.57,48.21,57.34,32.28,51.34,43.08,66.47,26.39
Caroline Wozniacki,2020,70.41,68.73,54.51,54.12,38.86,64.54,43.78,77.29,47.96
Catherine Cartan Bellis,2020,61.34,60.67,46.37,51.12,35.42,58.55,53.7,60.0,37.2
Caty Mcnally,2020,60.87,60.82,41.06,48.76,30.86,48.93,64.14,56.6,29.51
Chihiro Muramatsu,2020,70.83,55.88,42.86,40.0,38.46,56.1,38.46,60.0,33.33
Chiraz Bechri,2020,68.24,54.0,38.29,49.38,32.28,43.3,54.17,51.59,24.65
Chloe Paquet,2020,56.47,52.52,39.91,40.0,37.14,61.2,67.78,45.66,40.74
Chompoothip Jandakate,2020,61.12,66.66,44.12,29.16,69.56,61.36,55.0,65.07,69.44
Christina Mchale,2020,64.72,59.88,44.84,46.31,34.78,52.56,40.14,60.64,30.43
Claire Liu,2020,69.12,51.06,33.33,62.5,37.5,56.52,42.86,33.33,33.33
Clara Burel,2020,66.28,56.91,42.21,54.7,47.07,50.57,34.63,56.0,44.55
Clara Tauson,2020,65.74,66.99,51.34,73.99,37.88,53.2,44.29,74.99,38.48
Coco Vandeweghe,2020,56.08,70.0,37.75,64.59,30.93,45.25,22.22,64.59,13.34
Cori Gauff,2020,61.01,69.06,42.32,46.54,33.41,52.91,55.85,69.38,33.62
Daianne Hayashida,2020,53.33,50.0,37.14,41.67,30.0,55.17,33.33,22.22,30.0
Dana Guzman,2020,62.26,42.42,35.0,53.85,27.59,63.64,25.0,14.29,14.29
Daniela Ciobanu,2020,75.83,41.67,34.1,26.67,35.62,48.15,31.74,28.24,24.91
Daniela Seguel,2020,77.44,57.24,38.02,70.74,43.65,67.23,58.16,64.48,56.94
